Sp M(V) B-V U-B V-R R-I Teff BC
O5 -5.7 -0.33 -1.19 -0.15 -0.32 42000 -4.40
O9 -4.5 -0.31 -1.12 -0.15 -0.32 34000 -3.33
B0 -4.0 -0.30 -1.08 -0.13 -0.29 30000 -3.16
B2 -2.45 -0.24 -0.84 -0.10 -0.22 20900 -2.35
B5 -1.2 -0.17 -0.58 -0.06 -0.16 15200 -1.46
B8 -0.25 -0.11 -0.34 -0.02 -0.10 11400 -0.80
A0 +0.65 -0.02 -0.02 0.02 -0.02 9790 -0.30
A2 +1.3 +0.05 +0.05 0.08 0.01 9000 -0.20
A5 +1.95 +0.15 +0.10 0.16 0.06 8180 -0.15
F0 +2.7 +0.30 +0.03 0.30 0.17 7300 -0.09
F2 +3.6 +0.35 0.00 0.35 0.20 7000 -0.11
F5 +3.5 +0.44 -0.02 0.40 0.24 6650 -0.14
F8 +4.0 +0.52 +0.02 0.47 0.29 6250 -0.16
G0 +4.4 +0.58 +0.06 0.50 0.31 5940 -0.18
G2 +4.7 +0.63 +0.12 0.53 0.33 5790 -0.20
G5 +5.1 +0.68 +0.20 0.54 0.35 5560 -0.21
G8 +5.5 +0.74 +0.30 0.58 0.38 5310 -0.40
K0 +5.9 +0.81 +0.45 0.64 0.42 5150 -0.31
K2 +6.4 +0.91 +0.64 0.74 0.48 4830 -0.42
K5 +7.35 +1.15 +1.08 0.99 0.63 4410 -0.72
M0 +8.8 +1.40 +1.22 1.28 0.91 3840 -1.38
M2 +9.9 +1.49 +1.18 1.50 1.19 3520 -1.89
M5 +12.3 +1.64 +1.24 1.80 1.67 3170 -2.73
# Valores de Allen's Astrophysical Quantities (4th Ed) - Cox,
# A.N. (ed.) - Springer - 2001. Capitulo 15.
