#-- K5V
#\*l[nm] I(K5V)
120 0.0
125 0.0
130 0.0
135 0.0
140 0.0
145 0.0
150 0.0
155 0.0
160 0.0
165 0.0
170 0.0
175 0.0
180 0.0
185 0.0
190 0.0
195 0.0
200 0.0
205 0.0
210 0.0
215 0.0
220 0.0
225 0.0
230 0.0
235 0.0
240 0.0
245 0.0
250 0.0
255 0.0
260 0.3
265 0.4
270 0.5
275 0.6
280 1.1
285 0.6
290 1.4
295 1.5
300 1.5
305 2.2
310 3.5
315 4.9
320 7.0
325 6.2
330 9.8
335 10.5
340 11.8
345 11.0
350 12.8
355 12.8
360 11.0
365 15.4
370 15.4
375 11.5
380 15.2
385 11.0
390 14.8
395 15.8
400 29.4
405 30.4
410 38.5
415 39.0
420 36.8
425 33.6
430 40.0
435 55.6
440 53.0
445 62.0
450 72.5
455 74.5
460 81.0
465 82.0
470 82.2
475 79.0
480 76.0
485 79.5
490 79.5
495 78.0
500 72.0
505 66.5
510 62.0
515 60.5
520 61.8
525 77.0
530 88.0
535 92.0
540 93.5
545 96.5
550 100.0
555 104.0
560 101.5
565 108.0
570 109.5
575 112.0
580 113.0
585 112.0
590 100.0
595 116.0
600 114.5
605 117.5
610 113.0
615 109.5
620 111.5
625 109.0
630 112.0
635 114.0
640 113.0
645 114.0
650 117.5
655 120.0
660 119.5
665 118.0
670 115.5
675 113.5
680 111.5
685 109.5
690 110.0
695 112.5
700 114.5
705 115.0
710 114.5
715 112.0
720 109.0
725 109.0
730 111.0
735 111.0
740 113.0
745 113.0
750 113.0
755 112.0
760 112.0
765 112.0
770 112.5
775 113.0
780 112.5
785 111.0
790 110.0
795 107.0
800 109.5
805 109.0
810 108.0
815 106.5
820 105.0
825 106.0
830 105.0
835 103.0
840 103.0
845 103.5
850 99.0
855 94.5
860 101.0
865 95.5
870 99.0
875 99.2
880 99.0
885 99.6
890 99.8
895 99.2
900 98.0
905 97.0
910 93.0
915 92.0
920 92.5
925 92.4
930 91.3
935 90.2
940 90.0
945 89.2
950 88.8
955 88.6
960 87.7
965 87.0
970 86.6
975 86.1
980 87.0
985 87.2
990 87.0
995 86.5
1000 85.5
1005 84.8
1010 84.2
1015 83.5
1020 82.6
1025 82.0
1030 82.4
1035 80.5
1040 81.2
1045 80.0
1050 78.5
1250 54.0
